framework_group,variable,topk_in_school,topk_out_school,best_rank_in_school,best_rank_out_school,max_imp_in_school,max_imp_out_school,peak_slice_in_school,peak_slice_out_school,shift_type
MLFTAU,ic_math_resource_simple_calculations,FALSE,TRUE,NA,5,NA,0.629136193,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | technology_attributes | MATH,OutOfSchool-only (top-k)
MLFTAU,icdv_ict_distress_online,FALSE,TRUE,NA,2,NA,0.985174966,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | well_being_outcomes | MATH,OutOfSchool-only (top-k)
MLFTAU,icdv_ict_outside_class_self,FALSE,TRUE,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | events_time | MATH,OutOfSchool-only (top-k)
MLFTAU,icdv_ict_use_weekday,FALSE,TRUE,NA,2,NA,0.982865136,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | hedonic_motivation | MATH,OutOfSchool-only (top-k)
MLFTAU,icdv_ict_use_weekend,FALSE,TRUE,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | hedonic_motivation | MATH,OutOfSchool-only (top-k)
MLFTAU,sc_community_type,FALSE,TRUE,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | organisation_school | location_attributes | MATH,OutOfSchool-only (top-k)
MLFTAU,sc_preparedness_remote_instruction,FALSE,TRUE,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | organisation_school | facilitating_conditions | MATH,OutOfSchool-only (top-k)
MLFTAU,sc_schooling_availability,FALSE,TRUE,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | organisation_society | location_attributes | MATH,OutOfSchool-only (top-k)
MLFTAU,st_device_near_home,FALSE,TRUE,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | habit | MATH,OutOfSchool-only (top-k)
MLFTAU,st_digital_learning_before_after_hours,FALSE,TRUE,NA,4,NA,0.713990593,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | technology_attributes | SCIE,OutOfSchool-only (top-k)
MLFTAU,st_digital_learning_weekend_hours,FALSE,TRUE,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | technology_attributes | MATH,OutOfSchool-only (top-k)
MLFTAU,st_digital_leisure_before_after_hours,FALSE,TRUE,NA,3,NA,0.817315993,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | technology_attributes | SCIE,OutOfSchool-only (top-k)
MLFTAU,st_digital_leisure_weekend_hours,FALSE,TRUE,NA,2,NA,0.989598876,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | technology_attributes | READ,OutOfSchool-only (top-k)
MLFTAU,st_family_food_insecurity,FALSE,TRUE,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | environment_attributes | MATH,OutOfSchool-only (top-k)
MLFTAU,st_family_pressure_specific_path,FALSE,TRUE,NA,1,NA,1,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | output | social_influence | MATH,OutOfSchool-only (top-k)
MLFTAU,st_family_social_status_future,FALSE,TRUE,NA,3,NA,0.51785478,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | behavioural_intention | SCIE,OutOfSchool-only (top-k)
